,S. no.,Carry Forwarded From 2023,Zone,Region,City,Exchange as per PC-1,Feeding Node,Area,Ufone,Ufone - LAT,Ufone - LONG,Design Status,Status(Fiberized/ Non Fiberize),FAT/NAP not covered as Home Pass,NAP covered as Home Pass (With Drop pipe),NAP covered as Home Pass (Witout  Drop pipe),FAT covered as Home Pass (Aerial Deployment),Remarks,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
688,689,Nill,North,NTR-1,Charsada,Charsada,Charsada,Ithad Colony ,6716-3G-N-2061-4G-N-112061,34.02711,71.57832,Yes,Fiberized,Covered,-,-,Near FAT 10 & 12 FDH-108,Near FAT 10 & 12 FDH-108,,,,,,,,
689,690,Nill,North,NTR-1,Charsada,Charsada,Charsada,Ithad Colony ,2195-3G-N-1238-4G-N-111238,34.02951,71.58645,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,,,,,,,
690,691,Nill,South,QTR,Quetta,Sumungli ,Sumungli ,Baba Fareed/Sangheen Homes,1411-3G-S-2243-4G-S-142243,30.25858333,66.95933333,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,,,,,,,
691,692,Nill,South,QTR,Quetta,Central ,Central , Kilii Paind Khan,1394-3G-S-2963-4G-S-142963,30.22488,66.98914,Yes,Non Fiberized,Not Covered,-,-,"FAT25,FDH111",Execution In Progress,,,,,,,,
692,693,Nill,South,QTR,Quetta,Central ,Central , Kilii Paind Khan,S-3804-3G-S-1139-4G-S-141139,30.22225,66.99323,Yes,Non Fiberized,Not Covered,-,-,"FAT9,FDH105",Execution In Progress,,,,,,,,
693,694,Nill,Central,GTR,Malakawal,Malakawal,Malakawal,Malakwal,3788-3G-CI-3971-,32.55624,73.21474,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,FDH-101,,,,,,
694,695,Nill,Central,GTR,Malakawal,Malakawal,Malakawal,Malakwal,3792-3G-CI-3917-,32.55232,73.20583,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,FDH-102,,,,,,
695,696,Nill,Central,GTR,Malakawal,Malakawal,Malakawal,Malakwal,7846,32.53491,73.22005,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,FDH-103,,,,,,
696,697,Nill,Central,LTR - N,Lahore,DHA Lahore,DHA Lahore,OLT Outside Nera Ufone CMO Tower (Ring 01) Askari 11 Sector A ,CI-1600-3G-CI-1844-4G-CI-121844,31.46162,74.43295,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,FDH-101,,,,,,
697,698,Nill,South,STR,Sukkur,Central Sukkur,Central Sukkur,Local Board Sukkur,1201-3G-S-3038,27.69641667,68.87188889,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,,,,,,,
698,701,Nill,North,NTR-2,Peshawar,Kohat Road,Kohat Road,Industrial Estate and Karkhano Market,8679-3G-N-1380-4G-N-111380,33.9926,71.59669,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,FDH-203,,,,,,
699,702,Nill,North,NTR-2,Peshawar,Kohat Road,Kohat Road,Industrial Estate and Karkhano Market,6747-3G-N-1248-4G-N-111248,33.98958,71.5867,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,FDH-203,,,,,,
700,703,Nill,North,NTR-2,Peshawar,Kohat Road,Kohat Road,Industrial Estate and Karkhano Market,N-4403-3G-N-1852-4G-N-111852,33.98239,71.55714,Yes,Fiberized,Covered,-,-,FDH-101 near FAT-3 in 100 m,Fiberized,,FDH-102,,,,,,
701,704,Nill,North,NTR-2,Peshawar,Kohat Road,Kohat Road,Industrial Estate and Karkhano Market,2178-3G-N-1232-4G-N-111232,33.96885,71.53865,Yes,Fiberized,Covered,-,-,feasibility from nearest FAT,FAT-48 FDH104 Ring Road,,FDH-108,,,,,,
702,705,Nill,North,NTR-2,Peshawar,Kohat Road,Kohat Road,Industrial Estate and Karkhano Market,N-4401-3G-N-1423-4G-N-111423,33.97974,71.54927,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,FDH-107,,,,,,
703,706,Nill,South,STR,Nawabshah,Nawabshah City Exchange,Nawabshah City Exchange,Heart of Nawab shah,1608-3G-S-3366,26.24414,68.41045,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,FDH-1001,,,,,,
704,707,Nill,South,STR,Nawabshah,Nawabshah City Exchange,Nawabshah City Exchange,Professor Colony Nawabshah,1616-3G-S-1818-,26.22765,68.36126,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,FDH-2005,,,,,,
705,708,Nill,South,STR,Sukkur,Central Sukkur,Central Sukkur,Local Board Sukkur,1201-3G-S-3038-,27.696417,68.871889,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,FDH 1004,,,,,,
706,711,Nill,North,NTR-2,Peshawar,Kohat Road,Kohat Road,Industrial Estate and Karkhano Market,N-5226,34.0098,71.4431,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,,,,,,,
707,712,Nill,North,NTR-2,Peshawar,Kohat Road,Kohat Road,Industrial Estate and Karkhano Market,N-5733,34.0043,71.4263,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,,,,,,,
708,713,Nill,North,NTR-2,Peshawar,Kohat Road,Kohat Road,Industrial Estate and Karkhano Market,2113,34.0008,71.4274,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,,,,,,,
709,714,Nill,North,NTR-2,Peshawar,Kohat Road,Kohat Road,Industrial Estate and Karkhano Market,,33.9992,71.425,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,,,,,,,
710,715,Nill,North,NTR-2,Peshawar,Kohat Road,Kohat Road,Industrial Estate and Karkhano Market,N-5500-3G-N-1484-4G-N-111484,34.0013,71.4216,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,,,,,,,
