,S. no.,Carry Forwarded From 2023,Zone,Region,City,Exchange as per PC-1,Feeding Node,Area,Ufone,Ufone - LAT,Ufone - LONG,Design Status,Status(Fiberized/ Non Fiberize),FAT/NAP not covered as Home Pass,NAP covered as Home Pass (With Drop pipe),NAP covered as Home Pass (Witout  Drop pipe),FAT covered as Home Pass (Aerial Deployment),Remarks,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
23,24,Yes,North,ITR,Islamabad,Tarlai,Ghauri Town,"Ghouri Town Phase 3, 4, 5 & Ghouri Garden",,,,,,,,,Nill,Nill,,,,,,,,
24,25,Yes,North,ITR,Islamabad,Tarlai,Ghauri Town,"Ghouri Town Phase 3, 4, 5 & Ghouri Garden",,,,,,,,,Nill,Nill,,,,,,,,
25,26,Yes,North,ITR,Islamabad,Tarlai,Ghauri Town,"Ghouri Town Phase 3, 4, 5 & Ghouri Garden",,,,,,,,,Nill,Nill,,,,,,,,
26,27,Yes,South,HYTR,HYDERABAD,Qasimabad,Qasimabad Hyderabad,GMB Colony Adjust. Area,,,,,,,,,Nill,Nill,0,,,,,,,
27,28,Yes,South,HYTR,HYDERABAD,Qasimabad,Qasimabad Hyderabad,GMB Colony Adjust. Area,,,,,,,,,Nill,Nill,0,,,,,,,
28,29,Yes,Central,LTR-N,Lahore,DHA Lahore,DHA Lahore,Hikmat Towers near Askari 11,Nil,,,,,,,,Nill,Nill,,,,,,,,
29,30,Yes,Central,LTR-N,Lahore,DHA Lahore,DHA Lahore,Khuda Buksh Colonny,-3G-CI-4136-,31.4892,74.4182,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,,,,,,,
30,31,Yes,Central,LTR-N,Lahore,DHA Lahore,DHA Lahore,Khuda Buksh Colonny,,,,,,,,,Nill,Nill,,,,,,,,
31,32,Yes,Central,LTR-N,Lahore,DHA Lahore,DHA Lahore,Khuda Buksh Colonny,,,,,,,,,Nill,Nill,,,,,,,,
32,33,Yes,Central,LTR-N,Lahore,DHA Lahore,DHA Lahore,Khuda Buksh Colonny,,,,,,,,,Nill,Nill,,,,,,,,
33,34,Yes,Central,FTR,Faisalabad,PCX Faisalabad,PCX Faisalabad,"Madina Town W , X, Y, Z block, Officer Colony",5816-3G-CII-4514-,31.42413,73.11981,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH 206,,,,,,
34,35,Yes,Central,FTR,Faisalabad,PCX Faisalabad,PCX Faisalabad,"Madina Town W , X, Y, Z block, Officer Colony",4028-3G-CII-3035-4G-CII-133035,31.42748,73.12399,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT,FDH 204 PAT Done Apr 29 2024,,,,,,,,
35,36,Yes,Central,FTR,Faisalabad,PCX Faisalabad,PCX Faisalabad,"Madina Town W , X, Y, Z block, Officer Colony",CII-2258-3G-CII-4527-,31.42014,73.12503,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT,FDH 106 PAT Done May 29 2024,,,,,,,,
36,37,Yes,Central,FTR,Sargodha,Satellite Town Sargodha,Satellite Town Sargodha,"Muradabad, Qasim Park, Bismillah Home, Farooq Colony, Khayaban e Sadiq",Nil,,,,,,,,Nill,Nill,,,,,,,,
37,38,Yes,North,NTR-1,Peshawar,City Peshawar,City Peshawar,Nistarabad,,,,,,,,,Nill,Nill,,,,,,,,
38,39,Yes,North,NTR-1,Peshawar,City Peshawar,City Peshawar,Nistarabad,,,,,,,,,Nill,Nill,,,,,,,,
39,40,Yes,North,NTR-1,Peshawar,City Peshawar,City Peshawar,Nistarabad,,,,,,,,,Nill,Nill,,,,,,,,
40,41,Yes,Central,FTR,Sargodha,Satellite Town Sargodha,Satellite Town Sargodha,Peer Muhammad Colony + Sultan Colony,Nil,,,,,,,,Nill,Nill,,,,,,,,
41,42,Yes,Central,LTR-N,Lahore,DHA Lahore,Barki,"DHA Ph-6 (D, E, F, G, J, K, L) ",,,,,,,,,Nill,Nill,,,,,,,,
42,43,Yes,Central,LTR-N,Lahore,DHA Lahore,Barki,"DHA Ph-6 (D, E, F, G, J, K, L) ",,,,,,,,,Nill,Nill,,,,,,,,
43,44,Yes,Central,LTR-N,Lahore,DHA Lahore,Barki,"DHA Ph-6 (D, E, F, G, J, K, L) ",,,,,,,,,Nill,Nill,,,,,,,,
44,45,Yes,Central,LTR-N,Lahore,DHA Lahore,Barki,"DHA Ph-6 (D, E, F, G, J, K, L) ",,,,,,,,,Nill,Nill,,,,,,,,
45,46,Yes,North,NTR-1,Peshawar,Cantt Peshawar,Saddar ,"Saddar Bazar, Deans Mall, Notia Bazar, Super Market",,,,,,,,,Nill,Nill,,,,,,,,
46,47,Yes,North,NTR-1,Peshawar,Cantt Peshawar,Saddar ,"Saddar Bazar, Deans Mall, Notia Bazar, Super Market",,,,,,,,,Nill,Nill,,,,,,,,
47,48,Yes,North,NTR-1,Peshawar,Cantt Peshawar,Saddar ,"Saddar Bazar, Deans Mall, Notia Bazar, Super Market",,,,,,,,,Nill,Nill,,,,,,,,
48,49,Yes,North,NTR-1,Peshawar,Cantt Peshawar,Saddar ,"Saddar Bazar, Deans Mall, Notia Bazar, Super Market",,,,,,,,,Nill,Nill,,,,,,,,
49,50,Yes,Central,LTR-N,Lahore,Guldasht,Guldasht ,Sally Town,,,,,,,,,Nill,Nill,,,,,,,,
50,51,Yes,Central,LTR-N,Lahore,Guldasht,Guldasht ,Sally Town,,,,,,,,,Nill,Nill,,,,,,,,
51,52,Yes,South,QTR,Quetta,Sariab Road,Takhtani,Sariab Road,,,,,,,,,Nill,Nill,,,,,,,,
52,53,Yes,North,NTR-2,PESHAWAR,Khyber,Khyber,Shaheen Town,,,,,,,,,Nill,Nill,,,,,,,,
53,54,Yes,North,NTR-2,PESHAWAR,Khyber,Khyber,Shaheen Town,,,,,,,,,Nill,Nill,,,,,,,,
54,55,Yes,Central,LTR-S,Lahore,DHA Lahore,DHA Lahore,"Sui Gas, HBFC",7156-3G-CI-4365-,31.45489,74.4017,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,,,,,,,
55,56,Yes,Central,LTR-N,Lahore,DHA Lahore,DHA Lahore,"Sui Gas, HBFC",,,,,,,,,Nill,Nill,,,,,,,,
56,57,Yes,Central,GTR,Gujranwala ,SITE Gujranwala,Industrial estate II,Judicial Colony & Bilal Garden,,,,,,,,,Nill,Nill,,,,,,,,
57,58,Yes,North,HTR,Abbottabad,SIE Abbottabad,Mandian,Phul Galab Road/Comsats/Javed Shaheed/Officer Colony,,,,,,,,,Nill,Nill,,,,,,,,
58,59,Yes,Central,MTR,Multan,Mumtazabad,Mumtazabad,"Sabzwari, Hashmi, Larib, Fareed Cannal,Alkhalil Colony",Nil,,,,,,,,Nill,Nill,,,,,,,,
59,60,Yes,Central,LTR-S,Lahore,Ferozepur Road,Ferozepur Road,State Life Insurance CS 1,Nil,,,,,,,,Nill,Nill,,,,,,,,
60,61,Yes,Central,LTR-S,Lahore,Township,Wapda Town,Tariq Garden,,,,,,,,,Nill,Nill,,,,,,,,
61,62,Yes,Central,LTR-S,Lahore,Township,Wapda Town,Tariq Garden,,,,,,,,,Nill,Nill,,,,,,,,
62,63,Yes,South,QTR,Quetta,Brewry Road,Brewry,A one City - Ph 1,,,,,,,,,Nill,Nill,,,,,,,,
63,64,Yes,Central,LTR-S,Lahore,Ferozepur Road,Ghazi Road,PaK Arab Society,,,,,,,,,Nill,Nill,,,,,,,,
64,65,Yes,Central,LTR-S,Lahore,Ferozepur Road,Ghazi Road,PaK Arab Society,,,,,,,,,Nill,Nill,,,,,,,,
65,66,Yes,South,STR,Sukkur-I,Central Sukkur,Central Sukkur,Barrage Colony Sukkur,,,,,,,,,Nill,Nill,,,,,,,,
66,67,Yes,Central,CTR,SAHIWAL,CTX Sahiwal,Sahiwal Rural,"Bilal Colony,madina colony,mohllah faizabad, jamia faridia,",,,,,,,,,Nill,Nill,,,,,,,,
67,68,Yes,Central,CTR,SAHIWAL,CTX Sahiwal,Sahiwal Rural,"Bilal Colony,madina colony,mohllah faizabad, jamia faridia,",,,,,,,,,Nill,Nill,,,,,,,,
68,69,Yes,South,KTR-2,Karachi,Malir Cantt,Malir Cantt,Cantt Bazaar Malir,9073-3G-S-2396-4G-S-142396,24.9327,67.20873,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT,Nill,,,,,,,,
69,70,Yes,Central,GTR,Gujranwala ,Cantt Gujranwala,Cantt Gujranwala,Cantt Gujranwala,CI-1676-3G-CI-1922-,32.242,74.118,Yes,Non Fiberized,Not Covered,-,-,-,ROW Issue/ to be executed,,,,,,,,
70,71,Yes,Central,GTR,Gujranwala ,Cantt Gujranwala,Cantt Gujranwala,Cantt Gujranwala,CI-1674-3G-CI-1920-,32.25357,74.09793,Yes,Non Fiberized,Not Covered,-,-,-,ROW Issue/ to be executed,,,,,,,,
71,72,Yes,Central,GTR,Gujranwala ,Cantt Gujranwala,Cantt Gujranwala,Cantt Gujranwala,3338-3G-CI-4509-,32.25415,74.10931,Yes,Non Fiberized,Not Covered,-,-,-,ROW Issue/ to be executed,,,,,,,,
72,73,Yes,Central,GTR,Gujranwala ,Cantt Gujranwala,Cantt Gujranwala,Cantt Gujranwala,,,,,,,,,Nill,Nill,,,,,,,,
73,74,Yes,Central,GTR,Gujranwala ,Cantt Gujranwala,Cantt Gujranwala,Cantt Gujranwala,,,,,,,,,Nill,Nill,,,,,,,,
74,75,Yes,South,KTR-2,Karachi,Pak Capital,Pak Capital,"Bahadurabad, Bihar Society, Memon Society, CP & Berar CHS",9354-3G-S-2517-4G-S-142517,24.87909,67.04928,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT,FDH-7002,,,,,,,,
75,76,Yes,South,KTR-2,Karachi,Pak Capital,Pak Capital,"Bahadurabad, Bihar Society, Memon Society, CP & Berar CHS",9010-3G-S-2370-4G-S-142370,24.87438,67.0485,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT,FDH-7002,,,,,,,,
76,77,Yes,South,KTR-2,Karachi,Pak Capital,Pak Capital,"Bahadurabad, Bihar Society, Memon Society, CP & Berar CHS",,,,,,,,,Nill,Nill,0,,,,,,,
77,78,Yes,Central,GTR,Gujranwala ,DC Colony,DC Colony,DC Colony,Nil,,,,,,,,Nill,Nill,,,,,,,,
78,79,Yes,South,KTR-1,Karachi,Defence Karachi,Defence Karachi,DHA Phase 2,9561-3G-S-4849-,24.84295,67.06422,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,0,,,,,,
79,80,Yes,South,KTR-1,Karachi,Defence Karachi,Defence Karachi,DHA Phase 2,6314-3G-S-2051-,24.83282,67.05971,Yes,Non Fiberized,Not Covered,-,-,-,Not Executed,,,,,,,,
80,81,Yes,South,KTR-1,Karachi,Defence Karachi,Defence Karachi,DHA Phase 2,S-3029-3G-S-3711-4G-S-143711,24.83315,67.06258,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,FDH-3003  C241  F25-36,,,,,,
81,82,Yes,South,KTR-1,Karachi,Defence Karachi,Defence Karachi,DHA Phase 2,1079-3G-S-2017-4G-S-142017,24.82825,67.05563889,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,0,,,,,,
82,83,Yes,South,KTR-1,Karachi,Defence Karachi,Defence Karachi,DHA Phase 2,S-3338-3G-S-3790-4G-S-143790,24.82518,67.05699,Yes,Non Fiberized,Not Covered,-,-,-,Not Executed,,,,,,,,
83,84,Yes,South,KTR-1,Karachi,Defence Karachi,Defence Karachi,DHA Phase 2,6257-3G-S-4707-,24.82513,67.06023,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,0,,,,,,
84,85,Yes,South,KTR-1,Karachi,Defence Karachi,Defence Karachi,DHA Phase 2,S-3339-3G-S-4895-,24.82237,67.06099,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,0,,,,,,
85,86,Yes,South,KTR-1,Karachi,Defence Karachi,Defence Karachi,DHA Phase 2,S-3274-3G-S-4888-,24.82028,67.06092,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,0,,,,,,
86,87,Yes,South,KTR-1,Karachi,Defence Karachi,Defence Karachi,DHA Phase 2,1096-3G-S-2022-4G-S-142022,24.82122222,67.06469444,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,0,,,,,,
87,88,Yes,South,KTR-1,Karachi,Defence Karachi,Defence Karachi,DHA Phase 2,S-3004-3G-S-4874-,24.8222,67.06857,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,0,,,,,,
88,89,Yes,South,KTR-1,Karachi,Defence Karachi,Defence Karachi,DHA Phase 2,9682-3G-S-4864-4G-S-144864,24.82677,67.06547,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,0,,,,,,
89,90,Yes,South,KTR-1,Karachi,Defence Karachi,Defence Karachi,DHA Phase 2,S-3363-3G-S-4902-,24.82691,67.06796,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,0,,,,,,
90,91,Yes,South,KTR-1,Karachi,Defence Karachi,Defence Karachi,DHA Phase 2,1888-3G-S-4664-,24.82561,67.07081,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,0,,,,,,
91,92,Yes,South,KTR-1,Karachi,Defence Karachi,Defence Karachi,DHA Phase 2,6475-3G-S-2058-4G-S-142058,24.83416,67.06952,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,0,,,,,,
92,93,Yes,South,KTR-1,Karachi,Defence Karachi,Defence Karachi,DHA Phase 2,9442-3G-S-2153-4G-S-142153,24.83383,67.0726,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,0,,,,,,
93,94,Yes,South,KTR-1,Karachi,Defence Karachi,Defence Karachi,DHA Phase 2,,,,,,,,,Nill,Nill,0,,,,,,,
94,95,Yes,South,KTR-1,Karachi,Defence Karachi,Defence Karachi,DHA Phase 2,,,,,,,,,Nill,Nill,0,,,,,,,
95,96,Yes,South,KTR-1,Karachi,Misrishah Karachi,Misrishah Karachi,Seaview/Khy-e-Shujaat/Khayaban e Ghazal,6215-3G-S-2295-4G-S-142295,24.79764,67.04054,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH-1003,,,,,,
96,97,Yes,South,KTR-1,Karachi,Misrishah Karachi,Misrishah Karachi,Seaview/Khy-e-Shujaat/Khayaban e Ghazal,6201-3G-S-4691-,24.79302,67.0459,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH-1002,,,,,,
97,98,Yes,South,KTR-1,Karachi,Misrishah Karachi,Misrishah Karachi,Seaview/Khy-e-Shujaat/Khayaban e Ghazal,S-3348-3G-S-4898-,24.80596,67.04489,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH-3004,,,,,,
98,99,Yes,South,KTR-1,Karachi,Misrishah Karachi,Misrishah Karachi,Seaview/Khy-e-Shujaat/Khayaban e Ghazal,9595-3G-S-4863-4G-S-144863,24.80792,67.04469,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH-3004,,,,,,
99,100,Yes,South,KTR-1,Karachi,Misrishah Karachi,Misrishah Karachi,Seaview/Khy-e-Shujaat/Khayaban e Ghazal,9593-3G-S-4861-,24.80834,67.04809,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH-3004,,,,,,
100,101,Yes,South,KTR-1,Karachi,Misrishah Karachi,Misrishah Karachi,Seaview/Khy-e-Shujaat/Khayaban e Ghazal,9003-3G-S-2065-4G-S-142065,24.79871,67.05608,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH-3001 (nishat commercials),,,,,,
101,102,Yes,South,KTR-1,Karachi,Misrishah Karachi,Misrishah Karachi,Seaview/Khy-e-Shujaat/Khayaban e Ghazal,S-3341-3G-S-4896-,24.81355,67.04868,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH-4005 (khada Market),,,,,,
102,103,Yes,South,KTR-1,Karachi,Misrishah Karachi,Misrishah Karachi,Seaview/Khy-e-Shujaat/Khayaban e Ghazal,6219-3G-S-3785-4G-S-143785,24.81462,67.05003,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH-4004 (khada Market),,,,,,
103,104,Yes,South,KTR-1,Karachi,Misrishah Karachi,Misrishah Karachi,Seaview/Khy-e-Shujaat/Khayaban e Ghazal,1081-3G-S-2019-4G-S-142019,24.81183333,67.05008333,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH-4005 (khada Market),,,,,,
104,105,Yes,South,KTR-1,Karachi,Misrishah Karachi,Misrishah Karachi,Seaview/Khy-e-Shujaat/Khayaban e Ghazal,9170-3G-S-4781-4G-S-144781,24.80329,67.06193,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH-4001,,,,,,
105,106,Yes,South,KTR-1,Karachi,Misrishah Karachi,Misrishah Karachi,Seaview/Khy-e-Shujaat/Khayaban e Ghazal,S-3002-3G-S-4873-,24.812126,67.047357,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH-3004,,,,,,
106,107,Yes,Central,LTR-S,Lahore,Wapda Town,Ali Raza abad,Eden Lane Villas 2,7119-3G-CI-4347-4G-CI-124347,31.43715,74.27552,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT,Completed,,Fiberized,,,,,,
107,108,Yes,Central,LTR-S,Lahore,Wapda Town,Wapda Town,NFC,7135-3G-CI-4356-4G-CI-124356,31.43169,74.25999,Yes,Non Fiberized,Not Covered,-,-,-,Out Of Area / not feasible,,,,,,,,
108,109,Yes,Central,LTR-S,Lahore,Wapda Town,Wapda Town,"Wapda Town, Luxurion Avenue, Dream Villa",7317-3G-CI-1676-4G-CI-121676,31.4257,74.2522,Yes,Fiberized,Covered,-,Feasibility From Nearest NAP,-,Completed,,Fiberized,,,,,,
109,110,Yes,Central,LTR-S,Lahore,Wapda Town,Wapda Town,"Wapda Town, Luxurion Avenue, Dream Villa",,,,,,,,,Nill,Nill,,,,,,,,
110,111,Yes,Central,LTR-S,Lahore,Wapda Town,Wapda Town,"Wapda Town, Luxurion Avenue, Dream Villa",,,,,,,,,Nill,Nill,,,,,,,,
111,112,Yes,South,KTR-3,Karachi,Azizabad,Azizabad,"Federal B Area Azizabad Block 16, 17, 20",,,,,,,,,Nill,Nill,0,,,,,,,
112,113,Yes,Central,LTR-S,Lahore,Gulberg,Gulberg,Gulberg 1,7455--,31.53094,74.35286,Yes,Fiberized,Covered,-,-,-,Completed,,Fiberized,,,,,,
113,114,Yes,Central,LTR-S,Lahore,Gulberg,Gulberg,Gulberg 1,7440--,31.53094,74.35286,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,,,,,,,
114,115,Yes,Central,LTR-S,Lahore,Gulberg,Gulberg,Gulberg 1,3251-3G-CI-1593-,31.5327,74.3501,Yes,Fiberized,Covered,-,-,-,Completed,,Fiberized,,,,,,
115,116,Yes,Central,LTR-S,Lahore,Gulberg,Gulberg,Gulberg 1,7577-3G-CI-1734-,31.5327,74.3501,Yes,Fiberized,Covered,-,-,-,Completed,,Fiberized,,,,,,
116,117,Yes,Central,LTR-S,Lahore,Gulberg,Gulberg,Gulberg 1,7421--,31.53266,74.35008,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,,,,,,,
117,118,Yes,Central,LTR-S,Lahore,Gulberg,Gulberg,Gulberg 1,7422-3G-CI-4594-,31.53266,74.35008,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,,,,,,,
118,119,Yes,Central,LTR-S,Lahore,Gulberg,Gulberg,Gulberg 1,CI-1545--,31.532536,74.349624,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,,,,,,,
119,120,Yes,Central,LTR-S,Lahore,Gulberg,Gulberg,Gulberg 1,,,,,,,,,Nill,Nill,,,,,,,,
120,121,Yes,Central,LTR-S,Lahore,Gulberg,Gulberg,Gulberg 1,,,,,,,,,Nill,Nill,,,,,,,,
121,122,Yes,Central,LTR-S,Lahore,Gulberg,Gulberg,Gulberg 1,,,,,,,,,Nill,Nill,,,,,,,,
122,123,Yes,Central,LTR-S,Lahore,Gulberg,Gulberg,Gulberg 1,,,,,,,,,Nill,Nill,,,,,,,,
123,124,Yes,Central,LTR-S,Lahore,Gulberg,Gulberg,Gulberg 1,,,,,,,,,Nill,Nill,,,,,,,,
124,125,Yes,Central,LTR-S,Lahore,Gulberg,Gulberg,Gulberg 1,,,,,,,,,Nill,Nill,,,,,,,,
125,126,Yes,South,KTR-2,Karachi,KAP,NHS (Indoor location),Gulshan-e-Jamal,9406-3G-S-4813-4G-S-144813,24.90026,67.11544,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,0,,,,,,
126,127,Yes,South,KTR-2,Karachi,KAP,NHS (Indoor location),Gulshan-e-Jamal,9174-3G-S-2444-4G-S-142444,24.89621,67.11537,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,0,,,,,,
127,128,Yes,South,KTR-2,Karachi,KAP,NHS (Indoor location),Gulshan-e-Jamal,9415-3G-S-4816-4G-S-144816,24.89691,67.11805,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,0,,,,,,
128,129,Yes,South,HYTR,Hyderabad,Kotri,Latifabad,Hussainabad and Mir Hassanabad,,,,,,,,,Nill,Nill,0,,,,,,,
129,130,Yes,South,KTR-3,Karachi,Gulshan-i-Iqbal,Gulshan-i-Iqbal,"K-33 Gulshan-e-Iqbal Block 13 (Ring-2, 3 NTP-3)",,,,,,,,,Nill,Nill,0,,,,,,,
130,131,Yes,South,KTR-3,Karachi,Gulshan-i-Iqbal,Gulshan-i-Iqbal,"K-33 Gulshan-e-Iqbal Block 13 (Ring-2, 3 NTP-3)",,,,,,,,,Nill,Nill,0,,,,,,,
131,132,Yes,South,KTR-3,Karachi,Gulshan-i-Iqbal,Gulshan-i-Iqbal,"K-33 Gulshan-e-Iqbal Block 13 (Ring-2, 3 NTP-3)",,,,,,,,,Nill,Nill,0,,,,,,,
132,133,Yes,South,KTR-3,Karachi,Gulshan-i-Iqbal,Gulshan-i-Iqbal,"K-33 Gulshan-e-Iqbal Block 13 (Ring-2, 3 NTP-3)",,,,,,,,,Nill,Nill,0,,,,,,,
133,134,Yes,South,KTR-3,Karachi,Gulshan-i-Iqbal,Gulshan-i-Iqbal,"K-33 Gulshan-e-Iqbal Block 13 (Ring-2, 3 NTP-3)",,,,,,,,,Nill,Nill,0,,,,,,,
134,135,Yes,South,KTR-3,Karachi,North Karachi,North Karachi,"NKR Sector 11A, 11B, 15A1, 15A5",,,,,,,,,Nill,Nill,0,,,,,,,
135,136,Yes,South,KTR-3,Karachi,North Karachi,North Karachi,"NKR Sector 11A, 11B, 15A1, 15A5",,,,,,,,,Nill,Nill,0,,,,,,,
136,137,Yes,South,KTR-3,Karachi,North Karachi,North Karachi,"NKR Sector 11A, 11B, 15A1, 15A5",,,,,,,,,Nill,Nill,0,,,,,,,
137,138,Yes,South,KTR-1,Karachi,Ibrahim Hydri,Ibrahim Hyderi,PAF Colony,,,,,,,,,Nill,Nill,0,,,,,,,
138,139,Yes,South,STR,Sukkur-I,SITE Sukkar,Golimar,Sindhi Muslim Society Sukkur,,,,,,,,,Nill,Nill,,,,,,,,
139,140,Yes,South,STR,Sukkur-I,SITE Sukkar,Golimar,Sindhi Muslim Society Sukkur,,,,,,,,,Nill,Nill,,,,,,,,
140,141,Yes,Central,LTR-S,Lahore,Bahria Town Lahore,Bahria Orchard,Bahria Orchard & Bahria Nargis Block,,,,,,,,,Nill,Nill,,,,,,,,
141,142,Yes,North,RTR,Rawat,Rawat,Sagri,DHA Homes/Valley - Lilly,Nil,,,,,,,,Nill,Nill,,,,,,,,
142,143,Yes,Central,SLTR,Sialkot,Pasroor Road,Pasroor Road,Doburji Arian,,,,,,,,,Nill,Nill,,,,,,,,
143,144,Yes,Central,GTR,Gujranwala ,Lohianwala,Lohianwala,"Garden Town, Professor Colony",,,,,,,,,Nill,Nill,,,,,,,,
144,145,Yes,Central,SLTR,Sialkot,Pasroor Road,CTX Paris Rd,Jinah Park Colony,,,,,,,,,Nill,Nill,,,,,,,,
145,146,Yes,Central,SLTR,Sialkot,Pasroor Road,CTX Paris Rd,Jinah Park Colony,,,,,,,,,Nill,Nill,,,,,,,,
146,147,Yes,Central,MTR,Bahawalpur,CTX Bahawalpur,CTX Bahawalpur,MODEL TOWN B & C,,,,,,,,,Nill,Nill,,,,,,,,
147,148,Yes,Central,MTR,Bahawalpur,CTX Bahawalpur,CTX Bahawalpur,MODEL TOWN B & C,,,,,,,,,Nill,Nill,,,,,,,,
148,149,Yes,Central,MTR,Bahawalpur,CTX Bahawalpur,CTX Bahawalpur,MODEL TOWN B & C,,,,,,,,,Nill,Nill,,,,,,,,
149,150,Yes,Central,LTR-S,Lahore,Bahria Town Lahore,Sue-Asal,Bahria Nasheman,Nil,,,,,,,,Nill,Nill,,,,,,,,
150,151,Yes,Central,SLTR,Gujrat,Central Gujrat,Central Gujrat,Ali Pura Road,Nil,,,,,,,,Nill,Nill,,,,,,,,
151,152,Yes,Central,MTR,Multan,CTX-I Multan,CTX-I Multan,"Altaf Town, Nishtar Road",,,,,,,,,Nill,Nill,,,,,,,,
152,153,Yes,Central,MTR,Multan,CTX-I Multan,CTX-I Multan,"Altaf Town, Nishtar Road",,,,,,,,,Nill,Nill,,,,,,,,
153,154,Yes,Central,MTR,Multan,CTX-I Multan,CTX-I Multan,"Altaf Town, Nishtar Road",,,,,,,,,Nill,Nill,,,,,,,,
154,155,Yes,Central,MTR,Multan,CTX-I Multan,CTX-I Multan,"Altaf Town, Nishtar Road",,,,,,,,,Nill,Nill,,,,,,,,
155,156,Yes,Central,MTR,Multan,CTX-I Multan,CTX-I Multan PTCL Colony Telecom Room,Cant villas/Defense Villas,"Under Same Polygon of ""Altaf Town, Nishtar Road"" S. No. 79",,,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,0,,,,,,,
156,157,Yes,Central,MTR,Multan,CTX-I Multan,CTX-I Multan PTCL Colony Telecom Room,Qaid-e-Azam Road,"Under Same Polygon of ""Altaf Town, Nishtar Road"" S. No. 79",,,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,0,,,,,,,
157,158,Yes,Central,MTR,Multan,CTX-I Multan,CTX-I Multan,"Wahdat Colony Multan,","Under Same Polygon of ""Altaf Town, Nishtar Road"" S. No. 79",,,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,0,,,,,,,
158,159,Yes,North,ITR,Islamabad,Adyala,Adyala,Gulshanabad+National Housing ,"Under Same Polygon of ""Gulshanabad"" S. No. 21",,,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,,,,,,,
159,160,Yes,Central,MTR,,Bahawalpur Satellite Town,Satellite Town Bahawalpur,Rafi Qamar Road,Nil,,,,,,,,Nill,Nill,,,,,,,,
160,161,Yes,North,ITR,Rawalpindi,Bahria Town Islamabad,DHA Islamabad Phase 2 (Main room),Ziraj Housing Socity,Nil,,,,,,,,Nill,Nill,,,,,,,,
161,162,Yes,South,KTR-1,Karachi,Baldia,Hawks Bay,Jawaid Bahria_Naval Colony,Nil,,,,,,,,Nill,Nill,0,,,,,,,
162,163,Yes,North,HTR,Abbottabad,Central Abbottabad,Central Abbottabad,Public Sch/Gulistan Colony/DHQ Hosp/Askari Flat/Cantt Plaza/Malikpura/Simla Pahari,,,,,,,,,Nill,Nill,,,,,,,,
163,164,Yes,North,HTR,Abbottabad,Central Abbottabad,Central Abbottabad,Public Sch/Gulistan Colony/DHQ Hosp/Askari Flat/Cantt Plaza/Malikpura/Simla Pahari,,,,,,,,,Nill,Nill,,,,,,,,
